run_id,dataset,split,representation,checkpoint,track,pca_dim,classifier,seed,train_fraction,cp_auc,fitb_acc,pr_auc,train_seconds,extract_ips,peak_vram_mb,notes
historical_regenerated_clip_vitl14_336_s20260912,historical_polyvore_d_regenerated,test,clip_vitl14_336,openai/clip-vit-large-patch14-336@ce19dc912ca5cd21c8a653c79e251e808ccabcd1,pca256,256.0,logistic_regression,20260912,1.0,0.8876089405800056,0.6394189501485639,0.8865956968865992,0.4666859999997541,108.09638149985491,2029.3134765625,paper-readiness controlled robustness track
historical_regenerated_dinov3_vitl16_s20260912,historical_polyvore_d_regenerated,test,dinov3_vitl16,facebook/dinov3-vitl16-pretrain-lvd1689m@ea8dc2863c51be0a264bab82070e3e8836b02d51,pca256,256.0,logistic_regression,20260912,1.0,0.7838722894489397,0.5024100363156158,0.7828135180971625,0.5579736999934539,187.21535845597867,911.22412109375,paper-readiness controlled robustness track
historical_regenerated_fashionclip2_s20260912,historical_polyvore_d_regenerated,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62ce16b379a1ab479346b66f192e76f51b7,pca256,256.0,logistic_regression,20260912,1.0,0.8698660216563971,0.6197424892703862,0.8693066975015247,0.5353351000230759,427.1983526768747,398.60302734375,paper-readiness controlled robustness track
historical_regenerated_gr_lite_s20260912,historical_polyvore_d_regenerated,test,gr_lite,srpone/gr-lite@a8057f8aadaaab91670ad37949f6e1b5aa187e29,pca256,256.0,logistic_regression,20260912,1.0,0.8215641993141898,0.5489600528227138,0.8275621535446569,0.3351595000131055,150.38689509548405,1742.939453125,paper-readiness controlled robustness track
historical_regenerated_marqo_fashionsiglip_s20260912,historical_polyvore_d_regenerated,test,marqo_fashionsiglip,Marqo/marqo-fashionSigLIP@c56244cc94f92419e8369fa71efdaf403b124ce8,pca256,256.0,logistic_regression,20260912,1.0,0.8891036585811133,0.6439749092109607,0.8869028280645664,0.463058200024534,549.8110388018738,651.5322265625,paper-readiness controlled robustness track
historical_regenerated_resnet50_s20260912,historical_polyvore_d_regenerated,test,resnet50,torchvision ResNet50_Weights.IMAGENET1K_V2@11ad3fa6,pca256,256.0,logistic_regression,20260912,1.0,0.6945268849890696,0.3974909210960713,0.6914967081352288,0.4807101999758743,535.7507293763953,764.16162109375,paper-readiness controlled robustness track
historical_regenerated_siglip2_b16_384_s20260912,historical_polyvore_d_regenerated,test,siglip2_b16_384,google/siglip2-base-patch16-384@f775b65a79762255128c981547af89addcfe0f88,pca256,256.0,logistic_regression,20260912,1.0,0.8873677658283126,0.6484648398811489,0.8881384150588006,0.5042831000173464,172.6342947964257,1442.3955078125,paper-readiness controlled robustness track
native_clip_vitl14_336_s20260912,historical_polyvore_d,test,clip_vitl14_336,openai/clip-vit-large-patch14-336@ce19dc912ca5cd21c8a653c79e251e808ccabcd1,native,,standardized_logistic_regression,20260912,1.0,0.8754408103639072,0.6066688676130736,0.8667417050142571,5.439364499994554,108.09638149985491,2029.3134765625,historical packaged split; known cross-split item overlap; common C grid
native_dinov3_vitl16_s20260912,historical_polyvore_d,test,dinov3_vitl16,facebook/dinov3-vitl16-pretrain-lvd1689m@ea8dc2863c51be0a264bab82070e3e8836b02d51,native,,standardized_logistic_regression,20260912,1.0,0.8048032810595847,0.5059755694948828,0.7913002531608728,4.842877099988982,187.21535845597867,911.22412109375,historical packaged split; known cross-split item overlap; common C grid
native_fashionclip2_s20260912,historical_polyvore_d,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62ce16b379a1ab479346b66f192e76f51b7,native,,standardized_logistic_regression,20260912,1.0,0.8795973641396073,0.6150544734235721,0.8683338161287527,1.921852100000251,427.1983526768747,398.60302734375,historical packaged split; known cross-split item overlap; common C grid
native_gr_lite_s20260912,historical_polyvore_d,test,gr_lite,srpone/gr-lite@a8057f8aadaaab91670ad37949f6e1b5aa187e29,native,,standardized_logistic_regression,20260912,1.0,0.8255406693151413,0.5421591284252228,0.8294540062265898,2.4091005999944173,150.38689509548405,1742.939453125,historical packaged split; known cross-split item overlap; common C grid
native_marqo_fashionsiglip_s20260912,historical_polyvore_d,test,marqo_fashionsiglip,Marqo/marqo-fashionSigLIP@c56244cc94f92419e8369fa71efdaf403b124ce8,native,,standardized_logistic_regression,20260912,1.0,0.8954598559255686,0.6433146252888742,0.8887003009229879,3.1865159000153653,549.8110388018738,651.5322265625,historical packaged split; known cross-split item overlap; common C grid
native_resnet50_s20260912,historical_polyvore_d,test,resnet50,torchvision ResNet50_Weights.IMAGENET1K_V2@11ad3fa6,native,,standardized_logistic_regression,20260912,1.0,0.7329965434823339,0.4336744800264113,0.7389276923157979,19.031403000000864,535.7507293763953,764.16162109375,historical packaged split; known cross-split item overlap; common C grid
native_siglip2_b16_384_s20260912,historical_polyvore_d,test,siglip2_b16_384,google/siglip2-base-patch16-384@f775b65a79762255128c981547af89addcfe0f88,native,,standardized_logistic_regression,20260912,1.0,0.8952099464176,0.6385605810498515,0.8898465413378488,3.025139799981844,172.6342947964257,1442.3955078125,historical packaged split; known cross-split item overlap; common C grid
pca256_clip_vitl14_336_s20260912,historical_polyvore_d,test,clip_vitl14_336,openai/clip-vit-large-patch14-336@ce19dc912ca5cd21c8a653c79e251e808ccabcd1,pca256,256.0,standardized_logistic_regression,20260912,1.0,0.8711718731692462,0.6071970947507428,0.8635971615856728,0.4824177999980747,108.09638149985491,2029.3134765625,historical packaged split; known cross-split item overlap; common C grid
pca256_dinov3_vitl16_s20260912,historical_polyvore_d,test,dinov3_vitl16,facebook/dinov3-vitl16-pretrain-lvd1689m@ea8dc2863c51be0a264bab82070e3e8836b02d51,pca256,256.0,standardized_logistic_regression,20260912,1.0,0.7604897458168485,0.4722350610762628,0.7538503667400229,0.6244093999848701,187.21535845597867,911.22412109375,historical packaged split; known cross-split item overlap; common C grid
pca256_fashionclip2_s20260912,historical_polyvore_d,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62ce16b379a1ab479346b66f192e76f51b7,pca256,256.0,standardized_logistic_regression,20260912,1.0,0.8566709722816995,0.5946517002310994,0.8490946811746458,0.4865066999918781,427.1983526768747,398.60302734375,historical packaged split; known cross-split item overlap; common C grid
pca256_gr_lite_s20260912,historical_polyvore_d,test,gr_lite,srpone/gr-lite@a8057f8aadaaab91670ad37949f6e1b5aa187e29,pca256,256.0,standardized_logistic_regression,20260912,1.0,0.8202937467799168,0.544404093760317,0.8274244168893161,0.3453916000435129,150.38689509548405,1742.939453125,historical packaged split; known cross-split item overlap; common C grid
pca256_marqo_fashionsiglip_s20260912,historical_polyvore_d,test,marqo_fashionsiglip,Marqo/marqo-fashionSigLIP@c56244cc94f92419e8369fa71efdaf403b124ce8,pca256,256.0,standardized_logistic_regression,20260912,1.0,0.8771669983163741,0.6199405744470122,0.8725389539108722,0.4722753000096418,549.8110388018738,651.5322265625,historical packaged split; known cross-split item overlap; common C grid
pca256_resnet50_s20260912,historical_polyvore_d,test,resnet50,torchvision ResNet50_Weights.IMAGENET1K_V2@11ad3fa6,pca256,256.0,standardized_logistic_regression,20260912,1.0,0.6894059504682426,0.4012545394519643,0.6862703571676829,0.3910006000078283,535.7507293763953,764.16162109375,historical packaged split; known cross-split item overlap; common C grid
pca256_siglip2_b16_384_s20260912,historical_polyvore_d,test,siglip2_b16_384,google/siglip2-base-patch16-384@f775b65a79762255128c981547af89addcfe0f88,pca256,256.0,standardized_logistic_regression,20260912,1.0,0.8728533083025634,0.6223836249587322,0.8668338036326215,0.4619499999680556,172.6342947964257,1442.3955078125,historical packaged split; known cross-split item overlap; common C grid
pilot_clip_s20260912,historical_polyvore_d,test,clip_vitl14,openai/clip-vit-large-patch14@32bd642,pca256,256.0,logistic_regression,20260912,1.0,0.8474801035,0.5786068009,0.837166094,0.328913,270.048,,historical packaged split; known overlap; full-precision cache
pilot_dinov2_s20260912,historical_polyvore_d,test,dinov2_vitb14,facebook/dinov2-base@f9e44c8,pca256,256.0,logistic_regression,20260912,1.0,0.6563247973,0.3795972268,0.6423123262,0.900023,598.755,,historical packaged split; known overlap; full-precision cache
pilot_fashionclip_s20260912,historical_polyvore_d,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62,pca256,256.0,logistic_regression,20260912,1.0,0.8281773319,0.5656652361,0.8177999252,0.47092,906.163,,historical packaged split; known overlap; full-precision cache
pilot_resnet50_s20260912,historical_polyvore_d,test,resnet50,torchvision_IMAGENET1K_V2,pca256,256.0,logistic_regression,20260912,1.0,0.6710722268,0.3845493562,0.6624192864,1.029929,230.754,,historical packaged split; known overlap; full-precision cache
robust_clean_clip_vitl14_336_logistic_f0.1_s20260912,polyvore_d_clean,test,clip_vitl14_336,see model_audit.csv,pca256,256.0,logistic,20260912,0.1,0.8627356943970086,0.6119402985074627,0.8628332958067433,0.0755973000195808,,,fixed common learner or compatibility-label fraction
robust_clean_clip_vitl14_336_logistic_f0.25_s20260912,polyvore_d_clean,test,clip_vitl14_336,see model_audit.csv,pca256,256.0,logistic,20260912,0.25,0.8779814354110458,0.6342623167349095,0.8770348183641975,0.0954606999875977,,,fixed common learner or compatibility-label fraction
robust_clean_clip_vitl14_336_logistic_f0.5_s20260912,polyvore_d_clean,test,clip_vitl14_336,see model_audit.csv,pca256,256.0,logistic,20260912,0.5,0.8836225841150394,0.6451591599524501,0.8817397419413502,0.1694022999727167,,,fixed common learner or compatibility-label fraction
robust_clean_clip_vitl14_336_logistic_f1_s20260912,polyvore_d_clean,test,clip_vitl14_336,see model_audit.csv,pca256,256.0,logistic,20260912,1.0,0.8883028123619103,0.6499801875577863,0.8864205642658753,0.508352700038813,,,fixed common learner or compatibility-label fraction
robust_clean_clip_vitl14_336_mlp_f1_s20260912,polyvore_d_clean,test,clip_vitl14_336,see model_audit.csv,pca256,256.0,mlp,20260912,1.0,0.8783991732490213,0.6230352661471404,0.8778649311502459,1.10680940002203,,,fixed common learner or compatibility-label fraction
robust_clean_clip_vitl14_336_xgboost_f1_s20260912,polyvore_d_clean,test,clip_vitl14_336,see model_audit.csv,pca256,256.0,xgboost,20260912,1.0,0.874441440996178,0.5782591467441554,0.8796005005903816,1.0287469999748282,,,fixed common learner or compatibility-label fraction
robust_clean_dinov3_vitl16_logistic_f0.1_s20260912,polyvore_d_clean,test,dinov3_vitl16,see model_audit.csv,pca256,256.0,logistic,20260912,0.1,0.7431602478267593,0.4671773873992867,0.7442836852720676,0.0648453999892808,,,fixed common learner or compatibility-label fraction
robust_clean_dinov3_vitl16_logistic_f0.25_s20260912,polyvore_d_clean,test,dinov3_vitl16,see model_audit.csv,pca256,256.0,logistic,20260912,0.25,0.7629156790030907,0.484546295073306,0.7625909379064876,0.0996666999999433,,,fixed common learner or compatibility-label fraction
robust_clean_dinov3_vitl16_logistic_f0.5_s20260912,polyvore_d_clean,test,dinov3_vitl16,see model_audit.csv,pca256,256.0,logistic,20260912,0.5,0.7742991168656003,0.4988112534671773,0.7737255554167638,0.2056812000228092,,,fixed common learner or compatibility-label fraction
robust_clean_dinov3_vitl16_logistic_f1_s20260912,polyvore_d_clean,test,dinov3_vitl16,see model_audit.csv,pca256,256.0,logistic,20260912,1.0,0.7822002866327329,0.5048210276053362,0.7808236637109816,0.5876245999825187,,,fixed common learner or compatibility-label fraction
robust_clean_dinov3_vitl16_mlp_f1_s20260912,polyvore_d_clean,test,dinov3_vitl16,see model_audit.csv,pca256,256.0,mlp,20260912,1.0,0.770445791813024,0.4829612996962092,0.769838461955257,1.0528838000027465,,,fixed common learner or compatibility-label fraction
robust_clean_dinov3_vitl16_xgboost_f1_s20260912,polyvore_d_clean,test,dinov3_vitl16,see model_audit.csv,pca256,256.0,xgboost,20260912,1.0,0.7546791836732986,0.4362039360718531,0.7582504629542577,1.0122215000446886,,,fixed common learner or compatibility-label fraction
robust_clean_fashionclip2_logistic_f0.1_s20260912,polyvore_d_clean,test,fashionclip2,see model_audit.csv,pca256,256.0,logistic,20260912,0.1,0.8418810643383874,0.5742966583014133,0.8422422493537859,0.0722826999844983,,,fixed common learner or compatibility-label fraction
robust_clean_fashionclip2_logistic_f0.25_s20260912,polyvore_d_clean,test,fashionclip2,see model_audit.csv,pca256,256.0,logistic,20260912,0.25,0.8562086077363413,0.6033549068815216,0.856424787462916,0.0921696000150404,,,fixed common learner or compatibility-label fraction
robust_clean_fashionclip2_logistic_f0.5_s20260912,polyvore_d_clean,test,fashionclip2,see model_audit.csv,pca256,256.0,logistic,20260912,0.5,0.8646982387887685,0.6110817593448685,0.8636662313688681,0.1891632000333629,,,fixed common learner or compatibility-label fraction
robust_clean_fashionclip2_logistic_f1_s20260912,polyvore_d_clean,test,fashionclip2,see model_audit.csv,pca256,256.0,logistic,20260912,1.0,0.8689566926513539,0.6174877823273015,0.8676319760886654,0.5590213000541553,,,fixed common learner or compatibility-label fraction
robust_clean_fashionclip2_mlp_f1_s20260912,polyvore_d_clean,test,fashionclip2,see model_audit.csv,pca256,256.0,mlp,20260912,1.0,0.8554394417652285,0.589354114383833,0.8551260701744081,1.020686800009571,,,fixed common learner or compatibility-label fraction
