dataset,representation,task,subgroup_type,subgroup,n,positive_n,metric,value
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,all-body,1397,,accuracy,0.6857551896921976
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,bags,2684,,accuracy,0.6464232488822653
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,bottoms,1610,,accuracy,0.6378881987577639
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,hats,294,,accuracy,0.6802721088435374
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,jewellery,2056,,accuracy,0.6001945525291829
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,outerwear,1025,,accuracy,0.6565853658536586
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,scarves,208,,accuracy,0.6442307692307693
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,shoes,3133,,accuracy,0.6830513884455793
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,sunglasses,504,,accuracy,0.5694444444444444
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,tops,1852,,accuracy,0.6414686825053996
polyvore_d_clean,gr_lite,CP,outfit_length,2,1654,827.0,roc_auc,0.6829714780335385
polyvore_d_clean,gr_lite,CP,outfit_length,3,5072,2536.0,roc_auc,0.7797350642856432
polyvore_d_clean,gr_lite,CP,outfit_length,4,7490,3745.0,roc_auc,0.8237559647843764
polyvore_d_clean,gr_lite,CP,outfit_length,5,7526,3763.0,roc_auc,0.8592475838388651
polyvore_d_clean,gr_lite,CP,outfit_length,6+,8542,4271.0,roc_auc,0.8970097811899839
polyvore_d_clean,gr_lite,CP,contains_category,accessories,3510,1755.0,roc_auc,0.8551891624256296
polyvore_d_clean,gr_lite,CP,contains_category,all-body,10950,5475.0,roc_auc,0.8436881466191282
polyvore_d_clean,gr_lite,CP,contains_category,bags,23692,11846.0,roc_auc,0.8492608580617103
polyvore_d_clean,gr_lite,CP,contains_category,bottoms,15440,7720.0,roc_auc,0.8362310481489437
polyvore_d_clean,gr_lite,CP,contains_category,hats,2982,1491.0,roc_auc,0.8600212947706359
polyvore_d_clean,gr_lite,CP,contains_category,jewellery,15048,7524.0,roc_auc,0.8576979591233976
polyvore_d_clean,gr_lite,CP,contains_category,outerwear,9912,4956.0,roc_auc,0.8591087648791202
polyvore_d_clean,gr_lite,CP,contains_category,scarves,2518,1259.0,roc_auc,0.8602273322309713
polyvore_d_clean,gr_lite,CP,contains_category,shoes,27358,13679.0,roc_auc,0.8363304262643428
polyvore_d_clean,gr_lite,CP,contains_category,sunglasses,5160,2580.0,roc_auc,0.8501679586563307
polyvore_d_clean,gr_lite,CP,contains_category,tops,16438,8219.0,roc_auc,0.8310572360734281
